Initialzing...
Initializing data source...
Loading training data...
Data initialization complete.
Initializing model...
Model initialization complete.
Training START
iter 4100:, hard_loss_metric=0.46557763, full_loss_metric=0.18670148, full_loss_num=21003.83203125, mean_dist=1.66872060, lr=0.000100, hard or full='full'
iter 4200:, hard_loss_metric=0.46411967, full_loss_metric=0.18656562, full_loss_num=20336.44921875, mean_dist=1.69963408, lr=0.000100, hard or full='full'
iter 4300:, hard_loss_metric=0.46520984, full_loss_metric=0.18621159, full_loss_num=20457.35937500, mean_dist=1.70630062, lr=0.000100, hard or full='full'
iter 4400:, hard_loss_metric=0.46509883, full_loss_metric=0.18626617, full_loss_num=19959.02343750, mean_dist=1.71227598, lr=0.000100, hard or full='full'
iter 4500:, hard_loss_metric=0.46240911, full_loss_metric=0.18660402, full_loss_num=19824.31054688, mean_dist=1.72747588, lr=0.000100, hard or full='full'
iter 4600:, hard_loss_metric=0.44992292, full_loss_metric=0.18483648, full_loss_num=18563.61132812, mean_dist=1.75310099, lr=0.000100, hard or full='full'
iter 4700:, hard_loss_metric=0.46049145, full_loss_metric=0.18718557, full_loss_num=19314.13085938, mean_dist=1.74676621, lr=0.000100, hard or full='full'
iter 4800:, hard_loss_metric=0.46045893, full_loss_metric=0.18812896, full_loss_num=18532.71289062, mean_dist=1.77807724, lr=0.000100, hard or full='full'
iter 4900:, hard_loss_metric=0.44807717, full_loss_metric=0.18710570, full_loss_num=18432.97070312, mean_dist=1.79359281, lr=0.000100, hard or full='full'
0:04:17.695353
iter 5000:, hard_loss_metric=0.44532433, full_loss_metric=0.18738247, full_loss_num=17588.16406250, mean_dist=1.81790960, lr=0.000100, hard or full='full'
iter 5100:, hard_loss_metric=0.44396034, full_loss_metric=0.18617344, full_loss_num=18053.87304688, mean_dist=1.80748248, lr=0.000100, hard or full='full'
iter 5200:, hard_loss_metric=0.45350698, full_loss_metric=0.18688059, full_loss_num=18606.93554688, mean_dist=1.78948259, lr=0.000100, hard or full='full'
iter 5300:, hard_loss_metric=0.44616413, full_loss_metric=0.18589014, full_loss_num=17722.62890625, mean_dist=1.79940069, lr=0.000100, hard or full='full'
iter 5400:, hard_loss_metric=0.44022033, full_loss_metric=0.18724912, full_loss_num=16874.92187500, mean_dist=1.85291111, lr=0.000100, hard or full='full'
iter 5500:, hard_loss_metric=0.44259503, full_loss_metric=0.18630198, full_loss_num=16910.33203125, mean_dist=1.86527848, lr=0.000100, hard or full='full'
iter 5600:, hard_loss_metric=0.44435069, full_loss_metric=0.18622854, full_loss_num=17107.85937500, mean_dist=1.86788785, lr=0.000100, hard or full='full'
iter 5700:, hard_loss_metric=0.43786731, full_loss_metric=0.18755580, full_loss_num=15613.92285156, mean_dist=1.91450810, lr=0.000100, hard or full='full'
iter 5800:, hard_loss_metric=0.43283612, full_loss_metric=0.18673991, full_loss_num=15925.69238281, mean_dist=1.90500641, lr=0.000100, hard or full='full'
iter 5900:, hard_loss_metric=0.43072945, full_loss_metric=0.18694559, full_loss_num=15578.41015625, mean_dist=1.91161358, lr=0.000100, hard or full='full'
0:04:24.038144
iter 6000:, hard_loss_metric=0.43956125, full_loss_metric=0.18773842, full_loss_num=16299.38671875, mean_dist=1.90791285, lr=0.000100, hard or full='full'
iter 6100:, hard_loss_metric=0.43542603, full_loss_metric=0.18593988, full_loss_num=15632.11230469, mean_dist=1.90913558, lr=0.000100, hard or full='full'
iter 6200:, hard_loss_metric=0.43293178, full_loss_metric=0.18954088, full_loss_num=15391.60156250, mean_dist=1.95215762, lr=0.000100, hard or full='full'
iter 6300:, hard_loss_metric=0.43191728, full_loss_metric=0.18712564, full_loss_num=15801.50976562, mean_dist=1.92424917, lr=0.000100, hard or full='full'
iter 6400:, hard_loss_metric=0.43585998, full_loss_metric=0.18618943, full_loss_num=16250.22753906, mean_dist=1.90052760, lr=0.000100, hard or full='full'
iter 6500:, hard_loss_metric=0.42900077, full_loss_metric=0.18668427, full_loss_num=14974.03125000, mean_dist=1.95337558, lr=0.000100, hard or full='full'
iter 6600:, hard_loss_metric=0.42582053, full_loss_metric=0.18676960, full_loss_num=14933.19140625, mean_dist=1.96582270, lr=0.000100, hard or full='full'
iter 6700:, hard_loss_metric=0.42113253, full_loss_metric=0.18774498, full_loss_num=14164.34277344, mean_dist=2.00137901, lr=0.000100, hard or full='full'
iter 6800:, hard_loss_metric=0.42608234, full_loss_metric=0.18726535, full_loss_num=14811.54589844, mean_dist=1.98043108, lr=0.000100, hard or full='full'
iter 6900:, hard_loss_metric=0.41355872, full_loss_metric=0.18626241, full_loss_num=13365.28906250, mean_dist=2.02174616, lr=0.000100, hard or full='full'
0:04:21.115858
iter 7000:, hard_loss_metric=0.41958293, full_loss_metric=0.18588932, full_loss_num=14789.51171875, mean_dist=1.98558259, lr=0.000100, hard or full='full'
iter 7100:, hard_loss_metric=0.42394477, full_loss_metric=0.18726271, full_loss_num=14392.37011719, mean_dist=2.00058913, lr=0.000100, hard or full='full'
iter 7200:, hard_loss_metric=0.41529912, full_loss_metric=0.18826571, full_loss_num=13462.25976562, mean_dist=2.05454612, lr=0.000100, hard or full='full'
iter 7300:, hard_loss_metric=0.40681487, full_loss_metric=0.18617517, full_loss_num=12882.17773438, mean_dist=2.07111335, lr=0.000100, hard or full='full'
iter 7400:, hard_loss_metric=0.40582502, full_loss_metric=0.18599814, full_loss_num=12962.48730469, mean_dist=2.06155539, lr=0.000100, hard or full='full'
iter 7500:, hard_loss_metric=0.40449378, full_loss_metric=0.18744917, full_loss_num=12344.82617188, mean_dist=2.09863186, lr=0.000100, hard or full='full'
iter 7600:, hard_loss_metric=0.40989339, full_loss_metric=0.18752240, full_loss_num=13291.07617188, mean_dist=2.07965779, lr=0.000100, hard or full='full'
iter 7700:, hard_loss_metric=0.40074021, full_loss_metric=0.18697600, full_loss_num=12943.28125000, mean_dist=2.08837080, lr=0.000100, hard or full='full'
iter 7800:, hard_loss_metric=0.40060997, full_loss_metric=0.18760481, full_loss_num=12258.41015625, mean_dist=2.12204170, lr=0.000100, hard or full='full'
iter 7900:, hard_loss_metric=0.40263200, full_loss_metric=0.18662488, full_loss_num=12757.26367188, mean_dist=2.09770107, lr=0.000100, hard or full='full'
0:04:23.186781
iter 8000:, hard_loss_metric=0.39976403, full_loss_metric=0.18749051, full_loss_num=12322.67480469, mean_dist=2.13707066, lr=0.000100, hard or full='full'
iter 8100:, hard_loss_metric=0.39414328, full_loss_metric=0.18757366, full_loss_num=11659.57617188, mean_dist=2.15995860, lr=0.000100, hard or full='full'
iter 8200:, hard_loss_metric=0.39871159, full_loss_metric=0.18785185, full_loss_num=12073.44531250, mean_dist=2.15255761, lr=0.000100, hard or full='full'
iter 8300:, hard_loss_metric=0.39332607, full_loss_metric=0.18712671, full_loss_num=11671.75390625, mean_dist=2.17110753, lr=0.000100, hard or full='full'
